S/N, ApplicationNumber, Title, AssigneeOriginal, Language, PriorityDate, FilingDate, PublicationDate, GrantDate, Inventor, Assignee, Pdf
13, CN102377549A, 用于非自适应重传的方法和装置, 上海贝尔股份有限公司, , 2010-08-17, 2010-08-17, 2012-03-14, , 刘瑾-朱旭东, , https://patentimages.storage.googleapis.com/26/43/4f/c429b5375016f6/CN102377549A.pdf
13.1, US20130148584A1, Method and apparatus for non-adaptive retransmission, Alcatel-Lucent SA, , 2010-08-17, 2011-07-29, 2013-06-13, , XuDong Zhu-Jin Liu, , https://patentimages.storage.googleapis.com/de/7d/c9/ab52b990db7220/US20130148584A1.pdf
13.2, EP2606597A4, Method and apparatus for non-adaptive retransmission, Alcatel-Lucent SA, , 2010-08-17, 2011-07-29, 2017-10-25, , Xudong Zhu-Jin Liu, , 
13.3, WO2012023036A3, Method and apparatus for non-adaptive retransmission, Alcatel Lucent, , 2010-08-17, 2011-07-29, 2012-04-12, , Jin Liu-Xudong Zhu, , 
13.4, JP2013537767A, 非適応再送信の方法および装置, アルカテル−ルーセント, , 2010-08-17, 2011-07-29, 2013-10-03, , チュ，シュトン-リウ，ジン, , https://patentimages.storage.googleapis.com/8e/4e/77/e9f65aa44fff81/JP2013537767A.pdf
13.5, KR101467968B1, 비적응성 재전송을 위한 방법 및 장치, 알까뗄 루슨트, , 2010-08-17, 2011-07-29, 2014-12-02, 2014-12-02, 수동 주-진 리우, , https://patentimages.storage.googleapis.com/a8/28/d6/a39e194059c09f/KR101467968B1.pdf
14, WO2010124418A1, 一种用于控制数据重传的方法和装置, 上海贝尔股份有限公司阿尔卡特朗讯, , 2009-04-28, 2009-04-28, 2010-11-04, , 刘瑾-朱旭东-杨林-杨涛, , 
14.1, CN102301631B, 一种用于控制数据重传的方法和装置, 上海贝尔股份有限公司, , 2009-04-28, 2009-04-28, 2014-10-08, 2014-10-08, 刘瑾-朱旭东-杨林-杨涛, , https://patentimages.storage.googleapis.com/4d/48/8c/5414e51f8b0cce/CN102301631B.pdf
15, WO2010148530A1, 用于处理要聚合发送的分量载波的方法和设备, 上海贝尔股份有限公司阿尔卡特朗讯, , 2009-06-22, 2009-06-22, 2010-12-29, , 杨林-刘瑾-张晓博, , 
15.1, CN102334363B, 用于处理要聚合发送的分量载波的方法和设备, 上海贝尔股份有限公司, , 2009-06-22, 2009-06-22, 2016-04-06, 2016-04-06, 杨林-刘瑾-张晓博, , https://patentimages.storage.googleapis.com/90/c6/58/3219bac1281f23/CN102334363B.pdf
15.2, JP2012531127A, 送信のためにアグリゲートされるコンポーネント・キャリアを処理するための方法および装置, アルカテル−ルーセント, , 2009-06-22, 2009-06-22, 2012-12-06, , ヤン，リン-リュウ，ジン-ジャン，シャオボ, , https://patentimages.storage.googleapis.com/e7/ce/09/564d4d6647d523/JP2012531127A.pdf
15.3, US20120093088A1, Method and device for processing component carriers to be aggregated for transmission, Alcatel-Lucent Shanghai Bell Co Ltd, , 2009-06-22, 2009-06-22, 2012-04-19, , Lin Yang-Jin Liu-Xiabo Zhang, , https://patentimages.storage.googleapis.com/08/f0/39/45ef6017756085/US20120093088A1.pdf
15.4, EP2448334A4, Method and device for executing multiple component carriers which are aggregated to transmit, Alcatel-Lucent SA, , 2009-06-22, 2009-06-22, 2016-12-21, , Lin Yang-Jin Liu-Xiaobo Zhang, , 
15.5, KR101354470B1, 송신을 위해 결합되는 다수의 요소 반송파들을 실행하기 위한 방법 및 디바이스, 알까뗄 루슨트, , 2009-06-22, 2009-06-22, 2014-01-24, 2014-01-24, 린 양-진 리우-시아오보 장, , https://patentimages.storage.googleapis.com/06/32/2d/2626f00ddd6c11/KR101354470B1.pdf
16, CN102315897B, 在物理上行共享信道上传输上行控制信息的方法及设备, 上海贝尔股份有限公司, , 2010-06-30, 2010-06-30, 2015-10-14, 2015-10-14, 刘瑾, , https://patentimages.storage.googleapis.com/19/03/79/29131747029e91/CN102315897B.pdf
17, CN102595514B, 非周期性探测参考信号的配置方法, 上海贝尔股份有限公司, , 2011-01-12, 2011-01-12, 2015-03-18, 2015-03-18, 刘瑾, , https://patentimages.storage.googleapis.com/9e/03/63/10fc9cb7dbbef1/CN102595514B.pdf
17.1, JP5632545B2, 非周期的なサウンディング参照信号を構成する方法, アルカテル−ルーセント, , 2011-01-12, 2011-11-08, 2014-11-26, 2014-11-26, リュー，ジン, , 
17.2, KR101488234B1, 비주기적 사운딩 기준 신호를 구성하는 방법, 알까뗄 루슨트, , 2011-01-12, 2011-11-08, 2015-01-30, 2015-01-30, 진 리우, , https://patentimages.storage.googleapis.com/96/93/48/3dda332c4e98c2/KR101488234B1.pdf
17.3, EP2664182A4, Method of configuring an aperiodic sounding reference signal, Alcatel-Lucent SA, , 2011-01-12, 2011-11-08, 2017-05-10, , Jin Liu, , 
17.4, US9369250B2, Method of configuring an aperiodic sounding reference signal, Alcatel-Lucent SA, , 2011-01-12, 2011-11-08, 2016-06-14, 2016-06-14, Jin Liu, , https://patentimages.storage.googleapis.com/ae/7b/d3/7e54db3ef87779/US9369250.pdf
17.5, RU2537701C1, Способ конфигурирования апериодического зондирующего опорного сигнала, Алькатель Люсент, , 2011-01-12, 2011-11-08, 2015-01-10, 2015-01-10, Цзинь ЛЮ, , 
17.6, WO2012095694A3, Method of configuring an aperiodic sounding reference signal, Alcatel Lucent, , 2011-01-12, 2011-11-08, 2012-10-18, , Jin Liu, , 
18, CN102045856B, 一种信号接收方法及其设备, 上海贝尔股份有限公司, , 2009-10-14, 2009-10-14, 2013-09-11, 2013-09-11, 朱旭东-刘瑾-尤明礼, , https://patentimages.storage.googleapis.com/d7/7b/0d/bdcb9098d9c046/CN102045856B.pdf
19, CN103391159B, 处理tdd中harq冲突和pusch重传冲突的方法, 上海贝尔股份有限公司, , 2012-05-11, 2012-05-11, 2016-06-01, 2016-06-01, 孙芳蕾-赵岩-孙欢-刘瑾, , https://patentimages.storage.googleapis.com/58/c8/62/6527e6156739cf/CN103391159B.pdf
19.1, US20150110082A1, Method of handling harq collision and pusch retransmission collision in tdd, Alcatel-Lucent SA, , 2012-05-11, 2013-04-29, 2015-04-23, , Fanglei Sun-Yan Zhao-Huan Sun-Jin Liu, , https://patentimages.storage.googleapis.com/c5/6e/ea/397192a5963237/US20150110082A1.pdf
19.2, WO2013167966A1, Method of handling harq collision and pusch retransmission collision in tdd, Alcatel Lucent, , 2012-05-11, 2013-04-29, 2013-11-14, , Fanglei Sun-Yan Zhao-Huan Sun-Jin Liu, , 
20, CN102017557B, 在sc-fdma系统中对多路信号进行交换处理的方法和装置, 上海贝尔股份有限公司, , 2008-07-18, 2008-07-18, 2013-10-16, 2013-10-16, 刘瑾-尤明礼-朱旭东, , https://patentimages.storage.googleapis.com/13/6c/58/3f4eeff60cf7c9/CN102017557B.pdf
21, CN103037398B, 确定上行链路路损以及提供接收点相关信息的方法和设备, 上海贝尔股份有限公司, , 2011-09-30, 2011-09-30, 2016-03-30, 2016-03-30, 杨育波-朱旭东-刘瑾-尚鹏, , https://patentimages.storage.googleapis.com/a6/08/e7/b5be3f806543ac/CN103037398B.pdf
22, CN101810041B, 用于调度资源的方法、网络单元和用户设备, 上海贝尔股份有限公司, , 2007-08-24, 2007-08-24, 2013-09-11, 2013-09-11, 赵岩-杨涛-刘瑾, , https://patentimages.storage.googleapis.com/a1/9f/85/4e654df4dd9973/CN101810041B.pdf
23, CN104144486B, 上行功率控制方法和设备, 上海贝尔股份有限公司, , 2013-05-10, 2013-05-10, 2017-10-27, 2017-10-27, 刘瑾-刘建国, , https://patentimages.storage.googleapis.com/87/23/2f/c4731ca845e009/CN104144486B.pdf
24, CN102917436B, 在共小区标识的异构网络中进行上行功率控制的方法, 上海贝尔股份有限公司阿尔卡特朗讯, , 2011-08-02, 2011-08-02, 2017-03-15, 2017-03-15, 刘瑾-朱旭东-马修·P·J·贝克-杨育波, , https://patentimages.storage.googleapis.com/ba/01/ce/54f92663ea0e98/CN102917436B.pdf
24.1, EP2740302A4, A method used for uplink power control in a heterogeneous network with a shared cell-id, Alcatel-Lucent SA, , 2011-08-02, 2012-07-23, 2015-05-20, , Jin Liu-Xudong Zhu-Matthew Baker-Yubo Yang, , 
24.2, JP5893138B2, セルｉｄ共有されているヘテロジニアス・ネットワークにおけるアップリンク電力制御に用いられる方法, アルカテル−ルーセント, , 2011-08-02, 2012-07-23, 2016-03-23, 2016-03-23, リウ，ジン-チョウ，シュートン-ベイカー，マシュー-ヤン，ユボ, , 
24.3, US9763198B2, Method used for uplink power control in a heterogeneous network with a shared cell-ID, Alcatel-Lucent SA, , 2011-08-02, 2012-07-23, 2017-09-12, 2017-09-12, Jin Liu-XuDong Zhu-Matthew Baker-Yubo Yang, , https://patentimages.storage.googleapis.com/66/bc/4b/37c428055c72a5/US9763198.pdf
24.4, WO2013017948A3, A method used for uplink power control in a heterogeneous network with a shared cell-id, Alcatel Lucent, , 2011-08-02, 2012-07-23, 2013-04-11, , Jin Liu-Xudong Zhu-Matthew Baker-Yubo Yang, , 
24.5, KR101627944B1, 공유 셀 ｉｄ를 갖는 이종 네트워크에서 업링크 전력 제어에 이용되는 방법, 알까뗄 루슨트, , 2011-08-02, 2012-07-23, 2016-06-07, 2016-06-07, 진 리우-수동 주-매튜 베이커-유보 양, , https://patentimages.storage.googleapis.com/8f/ae/2f/b63ec673893e78/KR101627944B1.pdf
25, CN102740434B, 一种进行上行功率控制的方法和装置, 上海贝尔股份有限公司, , , 2011-04-15, 2016-12-14, 2016-12-14, 朱旭东-杨育波-刘瑾-尚鹏, , https://patentimages.storage.googleapis.com/70/c8/c8/b34fec8f3258ee/CN102740434B.pdf
25.1, EP2698011A4, Method and device for controlling uplink power, Alcatel-Lucent SA, , 2011-04-15, 2012-03-30, 2014-10-22, , Xudong Zhu-Yubo Yang-Jin Liu-Peng Shang, , 
25.2, JP5832630B2, アップリンク電力を制御するための方法およびデバイス, アルカテル−ルーセント, , 2011-04-15, 2012-03-30, 2015-12-16, 2015-12-16, ジュウ，シュイドン-ヤン，ユイボ-リウ，ジン-シャン，ペン, , 
25.3, WO2012140517A1, Method and device for controlling uplink power, Alcatel Lucent, , 2011-04-15, 2012-03-30, 2012-10-18, , Xudong Zhu-Yubo Yang-Jin Liu-Peng Shang, , 
25.4, US20140226578A1, Method and device for controlling uplink power, Alcatel-Lucent SA, , 2011-04-15, 2012-03-30, 2014-08-14, , XuDong Zhu-Yubo Yang-Jin Liu-Peng Shang, , https://patentimages.storage.googleapis.com/07/b6/5f/33f34acca61820/US20140226578A1.pdf
25.5, KR20140002043A, 업링크 전력 제어 방법 및 장치, 알까뗄 루슨트, , 2011-04-15, 2012-03-30, 2014-01-07, , 슈동 주-유보 양-진 리우-펭 상, , https://patentimages.storage.googleapis.com/55/8d/ec/30e9209bbbe52a/KR20140002043A.pdf
26, CN101299627B, 移动终端和发送信息帧的方法, 上海贝尔股份有限公司, , 2007-05-03, 2007-05-03, 2012-12-26, 2012-12-26, 刘瑾-王亮, , https://patentimages.storage.googleapis.com/4f/ee/de/0323f6828cd3ae/CN101299627B.pdf
26.1, WO2008134928A1, Terminal mobile et procédé de transmission de trames, Alcatel Shanghai Bell Co. Ltd.Alcatel Lucent, , 2007-05-03, 2008-04-25, 2008-11-13, , Jin Liu-Liang Wang, , 
27, CN102377532B, 非周期性的信息传输调度的处理方法及设备, 上海贝尔股份有限公司, , 2010-08-16, 2010-08-17, 2014-08-27, 2014-08-27, 刘瑾-朱旭东, , https://patentimages.storage.googleapis.com/c7/6b/6a/326d28e08d6bf9/CN102377532B.pdf
27.1, KR101540922B1, 비주기적인 정보 송신의 스케줄링을 처리하기 위한 방법들 및 장치들, 알까뗄 루슨트, , 2010-08-17, 2011-03-18, 2015-07-31, 2015-07-31, 진 리우-수동 주, , https://patentimages.storage.googleapis.com/22/98/87/5cf052d6ea4288/KR101540922B1.pdf
27.2, JP5709997B2, 非周期的情報転送のスケジューリングを処理する方法および装置, アルカテル−ルーセント, , 2010-08-17, 2011-03-18, 2015-04-30, 2015-04-30, リウ，ジン-チュ，シュトン, , 
27.3, EP2606702B1, Methods and apparatuses for triggering and reporting aperiodic channel state information, Alcatel-Lucent SA, , 2010-08-17, 2011-03-18, 2017-07-12, 2017-07-12, Jin Liu-Xudong Zhu, , https://patentimages.storage.googleapis.com/6a/2c/a2/ef71d2cecc288b/EP2606702B1.pdf
27.4, WO2012023007A1, Methods and apparatuses for processing scheduling of aperiodic information transmission, Alcatel Lucent, , 2010-08-17, 2011-03-18, 2012-02-23, , Jin Liu-Xudong Zhu, , 
27.5, US20130142163A1, Methods and apparatuses for processing scheduling of aperiodic information transmission, Alcatel-Lucent SA, , 2010-08-17, 2011-03-18, 2013-06-06, , Jin Liu-XuDong Zhu, , https://patentimages.storage.googleapis.com/92/dc/b5/3a3464d957a058/US20130142163A1.pdf
28, CN103326763B, 上行链路控制信息的传输方法, 上海贝尔股份有限公司, , 2012-03-19, 2012-03-19, 2016-12-14, 2016-12-14, 刘瑾-朱旭东, , https://patentimages.storage.googleapis.com/82/9e/d8/2408342bd51739/CN103326763B.pdf
28.1, KR20160072260A, 업링크 제어 정보를 전송하기 위한 방법, 알까뗄 루슨트, , 2012-03-19, 2013-03-18, 2016-06-22, , 진 리우-수동 주, , https://patentimages.storage.googleapis.com/dd/11/e7/2512b41888497b/KR20160072260A.pdf
28.2, JP2015511078A, アップリンク制御情報を送信するための方法, アルカテル−ルーセント, , 2012-03-19, 2013-03-18, 2015-04-13, , リウ，ジン-ジュウ，シュドン, , https://patentimages.storage.googleapis.com/47/31/b8/52b39d017eaa74/JP2015511078A.pdf
28.3, EP2829008A1, Method for transmitting uplink control information, Alcatel-Lucent SA, , 2012-03-19, 2013-03-18, 2015-01-28, , Jin Liu-Xudong Zhu, , 
28.4, KR20140138300A, 업링크 제어 정보를 전송하기 위한 방법, 알까뗄 루슨트, , 2012-03-19, 2013-03-18, 2014-12-03, , 진 리우-수동 주, , https://patentimages.storage.googleapis.com/e7/06/e8/8d73a66e98f7c7/KR20140138300A.pdf
28.5, US20150049698A1, Method for transmitting uplink control information, Alcatel-Lucent SA, , 2012-03-19, 2013-03-18, 2015-02-19, , Jin Liu-XuDong Zhu, , https://patentimages.storage.googleapis.com/c9/bf/7f/095ca2cf621d2d/US20150049698A1.pdf
28.6, WO2013140245A1, Method for transmitting uplink control information, Alcatel Lucent, , 2012-03-19, 2013-03-18, 2013-09-26, , Jin Liu-Xudong Zhu, , 
28.7, RU2587163C2, Способ передачи информации управления восходящей линии связи, Алькатель Люсент, , 2012-03-19, 2013-03-18, 2016-06-20, 2016-06-20, Цзинь ЛЮ-Сюйдун ЧЖУ, , 
29, CN103037498B, 用于多点协作传输中定时提前调整的方法和设备, 上海贝尔股份有限公司, , 2011-09-30, 2011-09-30, 2016-06-08, 2016-06-08, 朱旭东-杨涛-刘瑾, , https://patentimages.storage.googleapis.com/0a/8c/6b/3946b2e5613c42/CN103037498B.pdf
29.1, US20140226640A1, Method and apparatus for timing advance adjustment in multi-point cooperation transmission, Alcatel-Lucent SA, , 2011-09-30, 2012-09-21, 2014-08-14, , XuDong Zhu-Tao Yang-Jin Liu, , https://patentimages.storage.googleapis.com/c3/85/2c/7df1e117df2276/US20140226640A1.pdf
29.2, EP2761943A2, Method and apparatus for timing advance adjustment in multi-point cooperation transmission, Alcatel-Lucent SA, , 2011-09-30, 2012-09-21, 2014-08-06, , Xudong Zhu-Tao Yang-Jin Liu, , 
29.3, WO2013046025A3, Method and apparatus for timing advance adjustment in multi-point cooperation transmission, Alcatel Lucent, , 2011-09-30, 2012-09-21, 2013-05-30, , Xudong Zhu-Tao Yang-Jin Liu, , 
30, CN102334318B, 多天线发射机以及用于多天线发射机中的数据发送方法, 上海贝尔股份有限公司, , 2009-04-28, 2009-04-28, 2014-02-12, 2014-02-12, 孟艳-尤明礼-刘瑾, , https://patentimages.storage.googleapis.com/f2/4a/76/05fa30ed936b7d/CN102334318B.pdf
31, CN102469607B, 上行探测参考信号的触发和传输方法及其设备, 上海贝尔股份有限公司, , 2010-11-09, 2010-11-09, 2014-01-22, 2014-01-22, 刘瑾, , https://patentimages.storage.googleapis.com/9f/88/57/fc800a8be5e381/CN102469607B.pdf
31.1, WO2012063131A1, Method and apparatus for triggering and transmitting uplink sounding reference signal, Alcatel Lucent, , 2010-11-09, 2011-10-25, 2012-05-18, , Jin Liu, , 
31.2, EP2638740A4, Method and apparatus for triggering and transmitting uplink sounding reference signal, Alcatel-Lucent SA, , 2010-11-09, 2011-10-25, 2017-07-26, , Jin Liu, , 
31.3, US9107209B2, Method and apparatus for triggering and transmitting uplink sounding reference signal, Alcatel-Lucent SA, , 2010-11-09, 2011-10-25, 2015-08-11, 2015-08-11, Jin Liu, , https://patentimages.storage.googleapis.com/72/9e/a2/f81587f7e9e25a/US9107209.pdf
31.4, KR101481983B1, 업링크 사운딩 기준 신호를 트리거하고 송신하기 위한 방법 및 장치, 알까뗄 루슨트, , 2010-11-09, 2011-10-25, 2015-01-14, 2015-01-14, 진 리우, , https://patentimages.storage.googleapis.com/06/ae/32/4b782e7569cefa/KR101481983B1.pdf
31.5, JP5755335B2, アップリンク・サウンディング・リファレンス信号をトリガし送信する方法および装置, アルカテル−ルーセント, , 2010-11-09, 2011-10-25, 2015-07-29, 2015-07-29, リウ，ジン, , 
32, CN103326767B, 上行链路控制信息的反馈方法, 上海贝尔股份有限公司, , 2012-03-20, 2012-03-20, 2017-03-22, 2017-03-22, 刘瑾-朱旭东-孙芳蕾, , https://patentimages.storage.googleapis.com/3a/4f/cd/76fb28acaac157/CN103326767B.pdf
32.1, US9467266B2, Method for feeding back uplink control information, Alcatel-Lucent SA, , 2012-03-20, 2013-03-18, 2016-10-11, 2016-10-11, Jin Liu-XuDong Zhu-Fanglei Sun, , https://patentimages.storage.googleapis.com/7d/28/50/2a21e5e7c448c1/US9467266.pdf
32.2, RU2606403C2, Способ передачи по обратной связи управляющей информации восходящей линии связи, Алькатель Люсент, , 2012-03-20, 2013-03-18, 2017-01-10, 2017-01-10, Цзинь ЛЮ-Сюйдун ЧЖУ-Фанлэй СУНЬ, , 
32.3, WO2013140246A1, Method for feeding back uplink control information, Alcatel Lucent, , 2012-03-20, 2013-03-18, 2013-09-26, , Jin Liu-Xudong Zhu-Fanglei Sun, , 
32.4, KR20170000396A, 업링크 제어 정보를 피드백하기 위한 방법, 알까뗄 루슨트, , 2012-03-20, 2013-03-18, 2017-01-02, , 진 리우-수동 주-팡글레이 순, , https://patentimages.storage.googleapis.com/c7/c4/a5/fdf68fe2894c8f/KR20170000396A.pdf
32.5, JP2015516727A, アップリンク制御情報をフィードバックするための方法, アルカテル−ルーセント, , 2012-03-20, 2013-03-18, 2015-06-11, , リウ，ジン-シュ，スドン-スン，ファンレイ, , https://patentimages.storage.googleapis.com/d8/85/d4/706d99d0e38264/JP2015516727A.pdf
32.6, KR20140136995A, 업링크 제어 정보를 피드백하기 위한 방법, 알까뗄 루슨트, , 2012-03-20, 2013-03-18, 2014-12-01, , 진 리우-수동 주-팡글레이 순, , https://patentimages.storage.googleapis.com/05/50/a4/bd35d0a45ca80d/KR20140136995A.pdf
32.7, EP2829009A1, Method for feeding back uplink control information, Alcatel-Lucent SA, , 2012-03-20, 2013-03-18, 2015-01-28, , Jin Liu-Xudong Zhu-Fanglei Sun, , 
33, CN103037490B, 上行链路控制信道功率控制的方法和相应装置, 上海贝尔股份有限公司, , 2011-09-30, 2011-09-30, 2016-06-08, 2016-06-08, 刘瑾-朱旭东-杨育波-尚鹏, , https://patentimages.storage.googleapis.com/3c/51/78/f3cab013ad9793/CN103037490B.pdf
33.1, WO2013046026A1, Method and corresponding apparatus for uplink control channel power control, Alcatel Lucent, , 2011-09-30, 2012-09-21, 2013-04-04, , Jin Liu-Xudong Zhu-Yubo Yang-Peng Shang, , 
33.2, EP2761942A1, Method and corresponding apparatus for uplink control channel power control, Alcatel-Lucent SA, , 2011-09-30, 2012-09-21, 2014-08-06, , Jin Liu-Xudong Zhu-Yubo Yang-Peng Shang, , 
33.3, US20140286274A1, Method and corresponding apparatus for uplink control channel power control, Alcatel-Lucent SA, , 2011-09-30, 2012-09-21, 2014-09-25, , Jin Liu-XuDong Zhu-Yubo Yang-Peng Shang, , https://patentimages.storage.googleapis.com/46/2d/91/98cfde7ea15fae/US20140286274A1.pdf
34, CN102771170B, 多天线系统中的多码字通信方法, 上海贝尔股份有限公司, , 2010-05-03, 2010-05-03, 2015-06-03, 2015-06-03, 刘瑾-赵生捷-尤明礼-张晓博-杨林, , https://patentimages.storage.googleapis.com/2d/f3/52/ef53d0c3466fc8/CN102771170B.pdf
35, CN103037515B, 在CoMP通信系统中基于簇标识确定正交资源的方法, 上海贝尔股份有限公司, , 2011-09-30, 2011-09-30, 2016-01-27, 2016-01-27, 朱旭东-刘瑾-杨育波, , https://patentimages.storage.googleapis.com/9e/c7/87/0a142fbb0f9725/CN103037515B.pdf
35.1, JP5848455B2, ＣｏＭＰ通信システムにおいて仮想セルＩＤに基づいて直交リソースを決定する方法, アルカテル−ルーセント, , 2011-09-30, 2012-09-21, 2016-01-27, 2016-01-27, ジュウ，シュドン-リウ，ジン-ヤン，ユボ, , 
